INCIDENT_ID,YEAR_MONTH,LOCATION,DA_LEGAL_REVIEW,NARRATIVE,ObjectID,YR,MN,Latitude,Longitude,CreationDate,Creator,EditDate,Editor
3095,2006-01,"SNOW LANE, CHARLOTTE 28227",No DA review,"Officers attempted to arrest a known individual for outstanding warrants. The individual resisted and a struggle ensued between the officers and the individual, where it was discovered the individual was in possession of a handgun.  The individual fled and officers pursued him on foot.  While fleeing, the individual stopped and faced the officer. The officer observed the individual `s actions and knowing he was in possession of a handgun, discharged his service weapon towards the individual.",54,2006,1,35.1967587252,-80.7264610986,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
3490,2006-04,"NORCROFT DRIVE, CHARLOTTE ",Legally Justified,Officers received a call that another officer was shot by an individual while on a call for service. The responding officers located the individual and ordered him to exit the residence.  The individual exited with a handgun in his hand and was ordered to put it down.  He refused and pointed it towards the officers.,55,2006,4,35.3284931864,-80.7833387904,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
3750,2006-06,"SUNSET ROAD, CHARLOTTE 28269",Legally Justified,"Officers located homicide suspects at a local motel.  As officers attempted to enter the motel room, one of the suspects shot at the officers. Officers returned fire.",56,2006,6,35.3076356115,-80.8456732385,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
3908,2006-07,"ALBEMARLE ROAD, CHARLOTTE 28212",Legally Justified,The officer responded to a suspicious vehicle call.  An individual was located in a building close by.  The officer attempted to make verbal contact with the individual.  The individual pulled a handgun from the small of his back and walked towards the officer.  The officer gave the individual verbal commands to not move and drop the weapon.  The individual failed to comply and the officer discharged his firearm.,57,2006,7,35.2031537408,-80.7440670771,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
3932,2006-07,"ESTHER LANE, CHARLOTTE ",Legally Justified,"Officers initiated a search for a known armed robbery suspect, who had outstanding warrants. The individual was found at a residence and was ordered by officers to come out of the house. The individual refused and fired several shots at officers. The officer discharged his service weapon.",58,2006,7,35.2668892681,-80.9216006271,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
4392,2006-11,"DALECREST , CHARLOTTE 28269",Legally Justified,Officers responded to a call for service for a stolen vehicle.  Officers located the vehicle and initiated a felony stop and ordered the individual to show his hands. The individual refused to comply with officer¿s commands and drove the vehicle towards officers.  One of the officers discharged his service weapon.,59,2006,11,35.2801836787,-80.8163096331,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
4925,2007-04,"E INDEPENDENCE BOULEVARD, CHARLOTTE 28205",Legally Justified,"Officers heard gunshots at a nightclub. Upon arrival, an officer witnessed individuals in a vehicle firing shots towards patrons and officers. The officer discharged his service weapon towards the individual firing the weapon.",60,2007,4,35.1965504219,-80.7680738134,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
5822,2007-10,"FLORENCE AVENUE, CHARLOTTE  28212",Legally Justified,"Officers were involved in a vehicle pursuit, involving individuals associated with several armed robberies.  The vehicle drove to the entrance of an apartment complex where the occupants fled from the vehicle on foot. One of the occupants fired shots towards the officers.  One of the officers returned fire, striking the individual.",61,2007,10,35.1831188704,-80.7647899018,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
6508,2008-02,"LANGSTON MILL ROAD, CHARLOTTE ",Legally Justified,"Officers served a high-risk warrant at a residence. The individual inside the house fired a pistol at the officer.  The officer returned fire with his service weapon, striking the individual.",62,2008,2,35.325941465,-80.8614263024,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
6740,2008-04,"STATESVILLE ROAD, CHARLOTTE 28269",Legally Justified,"Officers responded to a suspicious vehicle call. Officers observed what appeared to be an unconscious individual inside the vehicle with a knife on his lap. Officers awoke the individual and the individual began backing the vehicle at a high rate of speed. Officer told individual to stop the car, but he did not comply. The officer discharged his service weapon.",63,2008,4,35.2888832311,-80.836590504,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
6788,2008-05,"CENTRAL AVENUE, CHARLOTTE  28205",Legally Justified,An officer was backing another officer on a traffic stop. The driver refused to obey both officers' commands to keep his hands up where they could see them and not to reach between the seats.  The officer noticed movement towards the vehicle console.  The officer fired her service weapon.,64,2008,5,35.2200525751,-80.8080232581,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
6867,2008-05,"SYLVANIA AVENUE, CHARLOTTE 28206",Legally Justified,"Officers responded to an assault call. While an officer was speaking to one of the parties involved in the assault, the individual fled on foot. The officer gave chase. While fleeing, the individual turned towards the officer and pointed a handgun at him.  The officer discharged his service weapon.",65,2008,5,35.24248825,-80.8295948795,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
7218,2008-08,"DEANNA LANE, CHARLOTTE  ",Legally Justified,"Officers received notification that an individual suspect fled a traffic stop.  The officer located the vehicle in a parking lot and pulled in behind it.  As he approached the vehicle, the driver of the vehicle reached out through the window and fired several shots at the officer.  The officer returned fire and the vehicle fled the scene.",66,2008,8,35.1403037207,-80.8941639154,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
22580,2018-01,"E TRADE STREET, CHARLOTTE 28202",Legally Justified,"Officers from the North Tryon Division and N.C. Probation and Parole were briefing in the parking lot between the Law Enforcement Center and the CMPD parking deck, when they were fired upon multiple times. Two CMPD officers and two probation officers fired their weapons during this incident.  One CMPD officer was transported to the hospital with a non-life threatening gunshot wound to the leg.  The suspect also was shot and was transported by MEDIC to CMC Main, where he was pronounced deceased. He was wanted for a murder that took place earlier in the day.",67,2018,1,35.222887,-80.83692,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
22078,2017-09,"PROSPECT DRIVE, CHARLOTTE 28213",Legally Justified,"Officers from the North Tryon Division responded to an armed person call for service.  Upon arrival, officers observed an armed man outside the apartment complex.  Officers gave multiple commands to the man to drop the weapon.  The man refused to drop the weapon and the officers perceived an imminent deadly threat.  The officers subsequently fired their weapon striking the man.  The officers immediately requested Medic.",68,2017,9,35.279472,-80.787744,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
23096,2018-05,"IDLEBROOK DRIVE, CHARLOTTE 28212",Pending Decision,"Officers with the Independence Division responded to a residence located in the 6200 block of Idlebrook Drive in response to a 911 call for service.  The female reporting person advised that her husband was threatening suicide and that there were firearms in the house.  The first two officers arrived and after speaking to the female, they followed her into the residence to speak to the suicidal subject.  As soon as the officers entered the house, the male exited his bedroom carrying a long gun.  The officers perceived an imminent threat and one of the officers fired his handgun.",69,2018,5,35.191562,-80.734968,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
19808,2016-01,"SHARVIEW COURT, CHARLOTTE 28217",No DA review,"Patrol officers responded to a robbery call for service.  Upon arrival, the victim stated that two individuals exited a vehicle and approached her on foot.  They stole her purse and fled the scene in a vehicle. The individuals then traveled to Sharview Circle and were observed checking door handles on parked cars in the apartment complex parking lot.  A concerned citizen observed their actions and notified the officer, who was working in an off duty capacity at the apartment complex.  While the officer was being notified, the individuals robbed a male victim at gunpoint.  The individuals then fled from the scene on foot.  The officer located the individuals in the parking lot.  As he approached them, he verbally identified himself as an officer and gave orders for them to cooperate.  One of the individuals pointed a firearm in the direction of the officer, who subsequently fired his weapon.",70,2016,1,35.160943569,-80.896387052,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
22155,2017-09,"HOLLY STREET, CHARLOTTE 28216",Legally Justified,"Metro Division officers responded to a residence after a 911 caller said a gunman had forced his way into a home there.  When officers arrived, they saw a suspect holding a pregnant woman at gunpoint.  The officers repeatedly ordered the suspect to drop his gun and let the woman go.  The woman managed to create a slight separation between herself and the suspect.  The officers continued ordering the suspect to drop the gun.  Three officers perceived an imminent deadly threat and fired their weapon, striking the suspect multiple times.",71,2017,9,35.2673453,-80.848407399,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
22525,2017-12,"N WENDOVER ROAD, CHARLOTTE 28205",Legally Justified,"Steele Creek Division officers located an out of state stolen vehicle in the area of I-77 and Carowinds Boulevard.  It was determined that the driver was a fugitive and had warrants out of Mecklenburg county for felony probation violation, possession with intent to manufacture, sell and deliver heroin, possession of marijuana, possession of marijuana paraphernalia and possession of drug paraphernalia.  Officers followed the vehicle and initiated a traffic stop.  Officers exited their vehicles and attempted to take the subject into custody, when the suspect rammed his vehicle into several occupied and unoccupied police cars.  Additionally, the subject rammed a vehicle occupied by a civilian.  A CMPD officer perceived an imminent deadly threat and subsequently fired his weapon striking the suspect.",72,2017,12,35.1967479,-80.791135199,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
22665,2018-02,"TIMBERBROOK DRIVE, CHARLOTTE 28208",Legally Justified,"Freedom Division officers, along with the Charlotte Fire Department and Medic, responded to a suicide attempt call for service.  The caller stated that a male was suicidal and was harming himself.  The Charlotte Fire Department and Medic arrived at the scene first to provide medical care and advised CMPD that the man had a knife and would not cooperate.  CFD further advised that the male subject said he wanted police to shoot him.  Once the officer arrived at the scene, the male subject raised the knife in his hand and began charging at the officer.  The officer gave loud, repeated verbal commands to drop the weapon and retreated multiple times to try to put distance between him and the male subject.  The male subject refused to comply and instead continued to charge at the officer, closing the distance between the two of them.  The officer then fired his service weapon, striking the male subject. CFD and Medic then provided care on scene and then Medic transported the male to Carolinas Medical Center where he was pronounced deceased.",73,2018,2,35.245948,-80.91034,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
19693,2015-12,"NORTHLAKE MALL DRIVE, CHARLOTTE 28269",Legally Justified,"A group of individuals who had a history of feuding, encountered each other inside the mall. An altercation ensued which led to one of the individuals discharging a firearm. An officer working off duty in the mall heard multiple shots being fired. The officer responded to the scene and encountered an individual armed with a firearm.  When the individual with the firearm shot into an occupied store, the officer fired his service weapon.",74,2015,12,35.3499809047,-80.8527021013,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
21414,2017-03,"JUSTICE AVENUE, CHARLOTTE 28206",Legally Justified,"Metro division officers responded to a suicide threat call for service.  Upon arrival, officers encountered an individual holding a rifle.   The officer perceived an imminent threat and fired his service weapon.",75,2017,3,35.2604238,-80.8327788842,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
23428,2018-07,"WILKINSON BOULEVARD, CHARLOTTE 28208",Pending Decision,"Officers with the Airport Division were dispatched to an airport business valet deck at 5601 Wilkinson Boulevard to investigate a suspicious vehicle, which accessed the deck by following closely behind another vehicle.  A short time later, an officer got out of his patrol car and attempted to approach the suspicious vehicle, when the driver drove toward the officer. The officer perceived an imminent threat of being run over and fired his handgun at the driver.",76,2018,7,35.234388,-80.936614,2018-10-16T09:02:12.935Z,CharlotteNC,2018-10-16T09:02:12.935Z,CharlotteNC
