dept,city,state,address_or_intersection,charge_code,cross_street,date,encounter_type,incident_id,incident_reason,latitude,longitude,number_of_suspects,number_officers_involved,officer_age,officer_death,officer_ethnicity,officer_gender,officer_id,officer_injured,officer_injuries_detail,officer_race,officer_yrs_experience,reason_for_force,reason_for_force_detailed,search_conducted,search_conducted_person,search_conducted_vehicle,search_reason,subject_age,subject_death,subject_description,subject_gender,subject_id,subject_injured,subject_injuries_detail,subject_priors,subject_race,subject_weapon_possessed,suspected_crime_type,suspected_crime_type_detailed,type_of_force_used,weapon_or_tool_used
24-00013,Minneapolis,MN,,,,2009-02-13 00:00:00,,3640,,44.91352281,-93.22282735,,,,,,,,,,,,Verbal Non-Compliance,,,,,,29,,,Male,,0,,,Black,,,,BodilyForceType,Knees
24-00013,Minneapolis,MN,,,,2017-04-12 00:00:00,,23447,,45.0177557,-93.30825905,,,,,,,,,,,,Fled on Foot,,,,,,19,,,Male,,0,,,White,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2010-02-19 00:00:00,,6602,,44.99915292,-93.29335076,,,,,,,,,,,,Tensed,,,,,,22,,,Male,,0,,,Black,,,,BodilyForceType,Knees
24-00013,Minneapolis,MN,,,,2015-09-13 00:00:00,,19936,,44.99912917,-93.28411702,,,,,,,,,,,,Commission of Crime,,,,,,21,,,Male,,,,,Black,,,,ChemIrritant,Personal Mace
24-00013,Minneapolis,MN,,,,2017-12-13 00:00:00,,24815,,45.014097,-93.30064649,,,,,,,,,,,,Fled in Vehicle,,,,,,35,,,Male,,-1,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2008-05-17 00:00:00,,980,,44.89881249,-93.22538824,,,,,,,,,,,,Fled on Foot,,,,,,18,,,Male,,0,,,Black,,,,BodilyForceType,Kicks
24-00013,Minneapolis,MN,,,,2014-01-26 00:00:00,,16169,,44.99913277,-93.28529706,,,,,,,,,,,,Tensed,,,,,,19,,,Male,,,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2016-01-30 00:00:00,,20789,,44.99913207,-93.28461789,,,,,,,,,,,,Commission of Crime,,,,,,21,,,Female,,0,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2017-09-12 00:00:00,,24356,,44.94836708,-93.25314102,,,,,,,,,,,,Fled on Foot,,,,,,38,,,Male,,,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2009-01-03 00:00:00,,3357,,45.00473138,-93.2630944,,,,,,,,,,,,Unspecified,,,,,,28,,,Male,,0,,,Black,,,,BodilyForceType,Punches
24-00013,Minneapolis,MN,,,,2012-05-10 00:00:00,,12276,,44.94567052,-93.28137253,,,,,,,,,,,,Unspecified,,,,,,24,,,Male,,-1,,,Black,,,,TaserDeployed,Firing Darts
24-00013,Minneapolis,MN,,,,2009-12-31 00:00:00,,6261,,45.01857937,-93.29747739,,,,,,,,,,,,Fled on Foot,,,,,,21,,,Male,,0,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2009-07-12 00:00:00,,5056,,44.97743954,-93.27351637,,,,,,,,,,,,Verbal Non-Compliance,,,,,,26,,,Male,,0,,,White,,,,ChemIrritant,Personal Mace
24-00013,Minneapolis,MN,,,,2015-05-03 00:00:00,,19091,,44.98163803,-93.27424677,,,,,,,,,,,,Commission of Crime,,,,,,25,,,Male,,,,,Black,,,,ChemIrritant,Crowd Control Mace
24-00013,Minneapolis,MN,,,,2010-04-10 00:00:00,,6913,,44.98164758,-93.27311624,,,,,,,,,,,,Assaulted Officer,,,,,,21,,,Male,,0,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2008-06-29 00:00:00,,1372,,44.98165497,-93.27196341,,,,,,,,,,,,Tensed,,,,,,24,,,Male,,,,,White,,,,BodilyForceType,Push Away
24-00013,Minneapolis,MN,,,,2009-04-20 00:00:00,,4259,,44.98164758,-93.27311624,,,,,,,,,,,,Commission of Crime,,,,,,21,,,Male,,0,,,Black,,,,ChemIrritant,Crowd Control Mace
24-00013,Minneapolis,MN,,,,2016-02-15 00:00:00,,20867,,44.99915553,-93.29932833,,,,,,,,,,,,Tensed,,,,,,23,,,Male,,-1,,,White,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2012-02-28 00:00:00,,11818,,44.94579493,-93.27793241,,,,,,,,,,,,Commission of Crime,,,,,,32,,,Male,,,,,White,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2017-11-20 00:00:00,,24716,,44.97839171,-93.27422196,,,,,,,,,,,,Fled on Foot,,,,,,27,,,Female,,0,,,not recorded,,,,BodilyForceType,Slaps
24-00013,Minneapolis,MN,,,,2008-08-29 00:00:00,,2072,,45.01857937,-93.29747739,,,,,,,,,,,,Assaulted Officer,,,,,,31,,,Male,,-1,,,Asian,,,,BodilyForceType,Kicks
24-00013,Minneapolis,MN,,,,2016-01-01 00:00:00,,22837,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24-00013,Minneapolis,MN,,,,2016-01-01 00:00:00,,20603,,44.95957713,-93.25234494,,,,,,,,,,,,Fled in Vehicle,,,,,,17,,,Male,,0,,,Black,,,,BodilyForceType,Knees
24-00013,Minneapolis,MN,,,,2017-12-22 00:00:00,,24859,,44.98650497,-93.27529839,,,,,,,,,,,,Tensed,,,,,,28,,,Female,,,,,Other / Mixed Race,,,,BodilyForceType,Push Away
24-00013,Minneapolis,MN,,,,2016-05-21 00:00:00,,21383,,44.98789006,-93.30385941,,,,,,,,,,,,Tensed,,,,,,26,,,Male,,0,,,Black,,,,BodilyForceType,Body Weight to Pin
24-00013,Minneapolis,MN,,,,2012-12-02 00:00:00,,13724,,44.97853805,-93.26530622,,,,,,,,,,,,Tensed,,,,,,45,,,Male,,-1,,,White,,,,BodilyForceType,Joint Lock
24-00013,Minneapolis,MN,,,,2017-06-13 00:00:00,,23863,,44.98269894,-93.28830319,,,,,,,,,,,,Assaulted Officer,,,,,,27,,,Male,,0,,,Black,,,,ForceGeneral,Compliance
24-00013,Minneapolis,MN,,,,2012-06-16 00:00:00,,12560,,44.9800647,-93.27188308,,,,,,,,,,,,Unspecified,,,,,,21,,,Male,,,,,Black,,,,ChemIrritant,Crowd Control Mace
24-00098,St. Paul,MN,,,,2016-06-29 06:31:00,,,,44.91613019,-93.13952579,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2002-03-27 17:52:00,,,,44.96657788,-93.13138673,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2008-02-06 05:11:00,,,,44.98106675,-93.06120649,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Asian,,No Data,,,
24-00098,St. Paul,MN,,,,2012-11-11 21:06:00,,,,44.95936066,-93.14154747,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2012-06-21 17:15:00,,,,44.98821265,-93.10115556,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2012-09-07 10:27:00,,,,44.9435416,-93.09742475,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2006-02-06 23:22:00,,,,44.96667981,-93.06092301,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2012-11-17 14:33:00,,,,44.97277532,-93.05082055,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Asian,,No Data,,,
24-00098,St. Paul,MN,,,,2004-06-02 07:47:00,,,,44.93159317,-93.12455573,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2009-01-31 05:11:00,,,,44.91613019,-93.13952579,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2005-04-26 12:26:00,,,,44.96657788,-93.13138673,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2001-01-22 22:47:00,,,,44.93787988,-93.17210461,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2014-10-27 02:06:00,,,,44.96663472,-93.07103166,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2007-08-19 20:53:00,,,,44.97388818,-93.02023732,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2003-01-20 06:22:00,,,,44.96684449,-93.15174239,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2005-11-14 11:44:00,,,,44.97388818,-93.02023732,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2007-03-08 19:58:00,,,,44.96717237,-93.16189329,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2015-06-10 11:03:00,,,,44.93822706,-93.11231687,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2016-10-13 15:26:00,,,,44.93780462,-93.15170647,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2004-12-06 12:28:00,,,,44.98828765,-93.13187085,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2001-05-07 08:51:00,,,,44.94079035,-93.07635844,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2014-05-09 22:14:00,,,,44.9809914,-93.10114494,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2009-07-01 00:31:00,,,,44.96543456,-93.12229417,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2004-03-12 17:29:00,,,,44.92321274,-93.07594613,,,,,,,,,,,,,,,Yes,Yes,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2002-10-11 09:00:00,,,,44.9305755,-93.15171175,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2004-08-31 15:47:00,,,,44.98828765,-93.13187085,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2004-06-15 07:55:00,,,,44.94342881,-93.10668882,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2008-03-29 01:20:00,,,,44.94493698,-93.13135062,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2015-01-20 15:53:00,,,,44.9378441,-93.1619232,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2016-04-14 03:32:00,,,,44.96673342,-93.0821136,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2005-12-06 00:46:00,,,,44.95206015,-93.16189808,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2003-04-21 19:51:00,,,,44.95934727,-93.12122586,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2017-08-15 07:59:00,,,,44.97389672,-93.02023731,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,Moving Violation,,,
24-00098,St. Paul,MN,,,,2004-08-12 16:15:00,,,,44.98816169,-93.0605833,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2017-01-24 17:27:00,,,,44.95935412,-93.15171272,,,,,,,,,,,,,,,Yes,Yes,,,,,Female,,,,,Black,,Equipment Violation,,,
24-00098,St. Paul,MN,,,,2003-05-30 09:57:00,,,,44.94494916,-93.16189088,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2013-12-29 21:57:00,,,,44.92310577,-93.13222901,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2013-08-11 18:05:00,,,,44.95916259,-93.07181545,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2001-02-15 21:53:00,,,,44.96580346,-93.1831301,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2004-10-06 16:21:00,,,,44.97378969,-93.11103459,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2003-11-15 19:43:00,,,,44.91614709,-93.17212624,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2003-01-22 13:35:00,,,,44.91613019,-93.13952579,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2002-05-23 01:19:00,,,,44.96701855,-93.11083062,,,,,,,,,,,,,,,Yes,Yes,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2008-02-18 23:23:00,,,,44.95934037,-93.13139961,,,,,,,,,,,,,,,Yes,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2009-07-11 22:07:00,,,,44.95981363,-93.11124934,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2009-03-11 23:54:00,,,,44.89857447,-93.16755296,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2006-02-15 22:21:00,,,,44.93079234,-93.08574357,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2001-08-21 08:05:00,,,,44.95213391,-93.12121596,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2009-07-25 00:32:00,,,,44.95934037,-93.13139961,,,,,,,,,,,,,,,Yes,Yes,,,,,Male,,,,,Asian,,No Data,,,
24-00098,St. Paul,MN,,,,2012-04-05 20:23:00,,,,44.95206015,-93.16189808,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2001-01-03 06:35:00,,,,44.96663472,-93.07103166,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2014-08-07 03:46:00,,,,44.94079035,-93.07635844,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Native American,,No Data,,,
24-00098,St. Paul,MN,,,,2001-04-17 00:36:00,,,,44.93103211,-93.09519964,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2013-01-27 19:09:00,,,,44.95206015,-93.16189808,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2005-03-02 17:39:00,,,,44.95206015,-93.16189808,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2010-05-28 01:05:00,,,,44.96033456,-93.18220895,,,,,,,,,,,,,,,Yes,Yes,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2003-08-13 17:35:00,,,,44.95916259,-93.07181545,,,,,,,,,,,,,,,Yes,No,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2009-04-28 15:29:00,,,,44.95934557,-93.15171272,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2011-10-01 18:18:00,,,,44.95916259,-93.07181545,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2003-02-27 18:48:00,,,,44.97277532,-93.05082055,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2002-10-08 14:17:00,,,,44.98069554,-93.09262204,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2001-03-17 19:25:00,,,,44.98823859,-93.15151443,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2011-09-05 02:01:00,,,,44.98816416,-93.09276252,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2004-10-11 00:07:00,,,,44.973888099999996,-93.03039075,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Asian,,No Data,,,
24-00098,St. Paul,MN,,,,2004-06-14 00:05:00,,,,44.9378441,-93.1619232,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2009-08-11 10:01:00,,,,44.95950658,-93.10207704,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2002-09-22 03:45:00,,,,44.95934037,-93.13139961,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2005-03-21 19:29:00,,,,44.93145056,-93.1107632,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2005-06-27 10:49:00,,,,44.95203834,-93.17207019,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2006-09-17 21:06:00,,,,44.95936066,-93.14154747,,,,,,,,,,,,,,,Yes,Yes,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2006-03-28 19:20:00,,,,44.98818129,-93.12107935,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2005-10-13 08:39:00,,,,44.93787988,-93.17210461,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2016-03-06 21:53:00,,,,44.95987773,-93.06094546,,,,,,,,,,,,,,,No Data,No,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2006-09-21 16:49:00,,,,44.93777053,-93.14149576,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2002-01-29 10:10:00,,,,44.95203834,-93.17207019,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2009-08-28 23:17:00,,,,44.96033456,-93.18220895,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2003-04-20 00:02:00,,,,44.94630857,-93.09137717,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Asian,,No Data,,,
24-00098,St. Paul,MN,,,,2004-06-30 06:52:00,,,,44.96964098,-93.20235838,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2005-01-15 11:51:00,,,,44.96667981,-93.06092301,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2010-09-09 02:38:00,,,,44.95206541,-93.11116232,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2005-05-13 00:19:00,,,,44.93834266,-93.08555629,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2003-11-28 18:35:00,,,,44.95950658,-93.10207704,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2016-05-23 22:54:00,,,,44.98069554,-93.09262204,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2012-01-12 00:59:00,,,,44.95213391,-93.12121596,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2001-03-20 01:35:00,,,,44.95273585,-93.0427568,,,,,,,,,,,,,,,Yes,Yes,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2008-05-25 03:55:00,,,,44.90813495,-93.17187035,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2007-01-11 13:12:00,,,,44.95929424,-93.16188682,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2012-12-28 22:35:00,,,,44.93065163,-93.17211765,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2004-06-04 11:51:00,,,,44.97367764,-93.13112479,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2003-01-14 12:42:00,,,,44.98110238,-93.02019274,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2009-04-22 22:56:00,,,,44.98110238,-93.02019274,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2012-03-09 20:33:00,,,,44.98114804,-93.04055840000001,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2013-05-31 08:15:00,,,,44.89857447,-93.16755296,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,No Data,,No Data,,,
24-00098,St. Paul,MN,,,,2004-06-21 10:22:00,,,,44.95212653,-93.13138291,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2004-04-09 11:23:00,,,,44.92321274,-93.07594613,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,Latino,,No Data,,,
24-00098,St. Paul,MN,,,,2017-10-05 13:20:00,,,,44.980703999999996,-93.09262203,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,Moving Violation,,,
24-00098,St. Paul,MN,,,,2016-12-10 19:37:00,,,,44.97385967,-93.07103595,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2015-07-31 00:06:00,,,,44.95273585,-93.04275679999999,,,,,,,,,,,,,,,No,No,,,,,Male,,,,,White,,No Data,,,
24-00098,St. Paul,MN,,,,2014-07-19 21:19:00,,,,44.96663472,-93.07103166,,,,,,,,,,,,,,,No,No,,,,,Female,,,,,Black,,No Data,,,
24-00098,St. Paul,MN,,,,2013-06-19 22:11:00,,,,44.95206541,-93.11116232,,,,,,,,,,,,,,,No Data,No Data,,,,,No Data,,,,,No Data,,No Data,,,
35-00016,Orlando,FL,4326 Pershing Place,,,2015-02-04 00:00:00,,15-050643,,,,1.0,1.0,42,No,N,M,,No,,O,7,,,,,,,37,Yes,,M,,Yes,,,White,Handgun,Shots fired,,,
35-00016,Orlando,FL,5382 Cinderlane Pkwy,,,2013-01-15 00:00:00,,13-021249,,28.606986,-81.429884,1.0,1.0,42,No,N,M,,No,,O,6,,,,,,,22,No,,M,,Yes,,,Black,Handgun,Attempted Murder,,,
35-00016,Orlando,FL,3900 Roseboro St,,,2013-07-23 00:00:00,,13-301648,,28.516976,-81.424397,1.0,1.0,24,No,N,M,,Yes,,W,1,,,,,,,23,No,,M,,Yes,,,Black,Handgun,Traffic Stop,,,
35-00016,Orlando,FL,3101 W. Princeton St.,,,2017-01-09 00:00:00,,17-11345,,28.569824,-81.419675,1.0,1.0,42,Yes,N,F,,Yes,,B,17.5,,,,,,,41,N,,M,,No,,,Black,Handgun,Attempt to Contact,,,
35-00016,Orlando,FL,Jamil/Central,,,2010-12-18 00:00:00,,10-586514,,,,1.0,2.0,"34, 35","No, No","N, N","M, M",,"No, No",,"W, W","6, 8",,,,,,,27,No,,M,,Yes,,,Black,Handgun,Traffic Stop,,,
35-00016,Orlando,FL,300 Blk Hope Circle,,,2009-05-06 00:00:00,,09-214084,,28.545296999999998,-81.45043100000001,1.0,1.0,35,No,N,M,,No,,W,3,,,,,,,17,No,,M,,Yes,,,Black,Handgun,Traffic Stop,,,
35-00016,Orlando,FL,Millenia / Conroy Road,,,2016-06-15 00:00:00,,16-246131,,,,1.0,1.0,27,No,H,M,,No,,W,2,,,,,,,Unk,No,,M,,No,,,Black,Motor Vehicle,Vehicle Burglary,,,
35-00016,Orlando,FL,819 Randall St,,,2016-10-30 00:00:00,,16-439059,,28.537072,-81.39188299999999,1.0,1.0,28,No,N,M,,N0,,W,1,,,,,,,20,No,,M,,Yes,,,Black,Handgun,Aggravated Battery,,,
35-00016,Orlando,FL,Bowen DR at Folkstone,,,2016-04-13 00:00:00,,16-153523,,28.518123,-81.30624499999999,1.0,1.0,34,No,H,M,,No,,W,8,,,,,,,22,No,,M,,Yes,,,White,Handgun,Battery,,,
35-00016,Orlando,FL,5200 Lake Margaret,,,2012-09-06 00:00:00,,12-369684,,28.506128999999998,-81.318226,1.0,3.0,"28, 33, 30","No, No, No","N, H, N","M, M, M",,"No, No, No",,"W, W, W","3, 4, 2",,,,,,,17,Yes,,M,,Yes,,,Black,Handgun,Armed Robbery,,,
35-00016,Orlando,FL,5688 International Dr,,,2015-02-08 00:00:00,,15-055695,,28.462278,-81.457256,1.0,1.0,29,No,H,M,,No,,W,8,,,,,,,21,No,,M,,Yes,,,Black,Handgun,Shots fired,,,
35-00016,Orlando,FL,756 Bennett Rd.,,,2012-06-06 00:00:00,,12-237596,,28.556196000000003,-81.333522,1.0,1.0,28,No,H,M,,No,,W,4,,,,,,,19,No,,F,,Yes,,,White,Motor Vehicle,Battery,,,
35-00016,Orlando,FL,1905 Lee Road,,,2009-07-01 00:00:00,,09-308652,,28.601301,-81.40977,1.0,1.0,33,No,N,M,,No,,W,8,,,,,,,Unk,No,,Unk,,No,,,Unk,Handgun,Aggravated Assault,,,
35-00016,Orlando,FL,5400 North Lane,,,2016-01-16 00:00:00,,16-021812,,28.596365999999996,-81.454072,1.0,1.0,33,No,N,M,,No,,W,4,,,,,,,17,No,,M,,Yes,,,Black,Motor Vehicle,Traffic Stop,,,
35-00016,Orlando,FL,South St & Bumby Ave,,,2016-01-29 00:00:00,,16-041504,,,,1.0,3.0,"31, 47, 32","No, No, No","N, N, N","M, M, M",,"No, No, No",,"W, W, W","7, 18, 9",,,,,,,34,No,,F,,Yes,,,White,Motor Vehicle,Carjacking,,,
35-00016,Orlando,FL,595 W. Church St,,,2014-02-24 00:00:00,,14-086291,,28.540179,-81.38619200000001,1.0,3.0,"32, 44, 24","No, No, No","N, N, N","M, M, M",,"No, No, No",,"W, B, W","1, 1, 1",,,,,,,27,No,,M,,No,,,Black,Motor Vehicle,Stalking,,,
