CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
BURG - AUTO,11/17/16 4:15,16-915868,BURGLARY-AUTO,01X,100 EMBARCADERO,Oakland,CA
STOLEN VEHICLE,1/27/17 19:00,17-005424,VEHICLE THEFT - AUTO,03X,100 13TH ST,Oakland,CA
DUI,1/31/17 0:50,17-005426,DUI:ALCOHOL/DRUGS:CAUSE BODILY INJURY,21Y,2900 FOOTHILL BLVD,Oakland,CA
PETTY THEFT,12/24/16 0:00,16-068576,THEFT,04X,1700 MARTIN LUTHER KING JR W,Oakland,CA
DUI,1/30/17 22:56,17-005427,DUI ALCOHOL/DRUGS,21Y,3300 FOOTHILL BLVD,Oakland,CA
,1/30/17 23:16,17-005430,ASSAULT WITH FIREARM ON PERSON,17Y,2200 13TH AVE,Oakland,CA
MISDEMEANOR ASSAULT,1/31/17 10:35,17-005504,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,09X,4100 BROADWAY,Oakland,CA
STOLEN VEHICLE,1/26/17 10:00,17-005442,VEHICLE THEFT - AUTO,02Y,1200 BLK MANDELA PKWY,Oakland,CA
VANDALISM,1/30/17 21:30,17-005444,VANDALISM,03Y,500 14TH ST,Oakland,CA
PETTY THEFT,12/15/16 10:30,17-900143,THEFT,26Y,1300 63RD AV,Oakland,CA
BURG - RESIDENTIAL,11/11/16 18:30,16-915359,BURGLARY-FORCIBLE ENTRY,11X,600 POIRIER ST,Oakland,CA
STOLEN VEHICLE,12/26/16 3:00,16-067970,VEHICLE THEFT - AUTO,32Y,9800 THERMAL ST,Oakland,CA
MISDEMEANOR ASSAULT,1/30/17 19:47,17-005402,BATTERY,04X,2200 TELEGRAPH AV,Oakland,CA
DISORDERLY CONDUCT,12/7/16 15:00,16-067975,FIGHT/CHALLENGE IN PUBLIC PLACE,27X,2400 RENWICK ST,Oakland,CA
BURG - RESIDENTIAL,12/22/16 20:50,17-900123,BURGLARY-FORCIBLE ENTRY,13Z,2300 ARROWHEAD DR,Oakland,CA
DOMESTIC VIOLENCE,1/30/17 19:30,17-005403,BATTERY:SERIOUS BODILY INJ,21X,2000 27TH AVE,Oakland,CA
NARCOTICS,1/30/17 19:15,17-005406,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,20X,3000 E 16TH ST,Oakland,CA
VANDALISM,11/22/16 19:15,16-062151,VANDALISM:DAMAGE PROPERTY,32X,1200 98TH AV,Oakland,CA
PETTY THEFT,12/26/16 12:00,16-068013,THEFT,19X,1600 FOOTHILL BLVD,Oakland,CA
DISORDERLY CONDUCT,12/26/16 19:40,16-068019,DISTURB THE PEACE,27X,2100 48TH AV,Oakland,CA
RECOVERED O/S STOLEN,1/30/17 20:11,17-005407,VEHICLE THEFT - AUTO,29X,63RD AVE & MAC ATHUR BLVD,Oakland,CA
GRAND THEFT,1/30/17 19:56,17-005408,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,03Y,1300 BROADWAY,Oakland,CA
DOMESTIC VIOLENCE,1/30/17 19:50,17-005410,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1400 JEFFERSON ST,Oakland,CA
RECOVERED O/S STOLEN,1/30/17 18:11,17-005411,VEHICLE THEFT - AUTO,31Z,10000 BERNHARDT DR,Oakland,CA
STOLEN AND RECOVERED VEHICLE,12/29/16 13:44,16-068400,ATTEMPT VEHICLE THEFT-AUTO,30X,1400 78TH AV,Oakland,CA
DOMESTIC VIOLENCE,12/29/16 13:41,16-068412,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27X,4800 CONGRESS AV,Oakland,CA
STOLEN VEHICLE,11/18/16 21:00,16-061563,VEHICLE THEFT - AUTO,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA
MISDEMEANOR ASSAULT,12/29/16 15:10,16-068418,BATTERY,05X,2000 FILBERT ST,Oakland,CA
MISDEMEANOR ASSAULT,12/29/16 15:00,16-068419,BATTERY,10X,1000 60TH ST,Oakland,CA
STOLEN VEHICLE,11/29/16 18:30,16-063435,VEHICLE THEFT - AUTO,14X,200 GRAND AV,Oakland,CA
MISDEMEANOR ASSAULT,12/29/16 15:40,16-068422,BATTERY,08X,2800 TELEGRAPH AV,Oakland,CA
GRAND THEFT,12/12/16 17:50,16-917396,GRAND THEFT,26X,6100 COLISEUM WY,Oakland,CA
BURG - COMMERCIAL,12/27/16 17:00,16-068185,BURGLARY-FORCIBLE ENTRY,16Y,4200 LA CRESTA AV,Oakland,CA
BURG - RESIDENTIAL,11/18/16 14:00,16-061566,BURGLARY-NO FORCE,02Y,1400 9TH ST,Oakland,CA
STOLEN VEHICLE,1/16/17 22:00,17-002895,VEHICLE THEFT - AUTO,25Y,8000 GREENRIDGE,Oakland,CA
STOLEN VEHICLE,12/27/16 20:30,16-068187,VEHICLE THEFT - AUTO,26Y,1300 80TH AV,Oakland,CA
BURG - AUTO,12/29/16 6:30,16-068423,BURGLARY-AUTO,18Y,BEAUMONT AV & E 31ST ST,Oakland,CA
BURG - OTHER,12/26/16 22:55,16-067955,ATTEMPTED BURGLARY,05X,1900 POPLAR ST,Oakland,CA
BURG - RESIDENTIAL,1/19/17 14:00,17-005373,BURGLARY-FORCIBLE ENTRY,06X,2900 MARTIN LUTHER KING JR W,Oakland,CA
PETTY THEFT,1/29/17 11:00,17-005374,THEFT,03X,00 6TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/30/17 12:00,17-005384,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,700 MARKET ST,Oakland,CA
STOLEN VEHICLE,1/30/17 13:00,17-005386,VEHICLE THEFT - AUTO,33X,U HAUL -8000 SAN LEANDRO ST.,Oakland,CA
STOLEN VEHICLE,1/30/17 12:28,17-005387,VEHICLE THEFT - AUTO,34X,1900 88TH AV,Oakland,CA
BURG - AUTO,12/23/16 22:00,16-917593,BURGLARY-AUTO,03X,1200 HARRISON ST,Oakland,CA
GRAND THEFT,12/21/16 15:00,17-900015,THEFT,,2500 GILBERT,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 21:00,16-067963,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,300 23RD AV,Oakland,CA
STOLEN VEHICLE,1/30/17 16:30,17-005389,VEHICLE THEFT - AUTO,08X,IFO 2811 TELEGRAPH AV,Oakland,CA
MISDEMEANOR ASSAULT,12/26/16 12:00,16-067965,BATTERY,35Y,3300 REVERE AV,Oakland,CA
ROBBERY,1/30/17 18:41,17-005392,ROBBERY-FIREARM,22Y,3200 WISCONSIN ST,Oakland,CA
NARCOTICS,1/30/17 18:45,17-005395,POSSESS NARCOTIC CONTROLLED SUBSTANCE,07X,3100 FILBERT ST,Oakland,CA
ROBBERY,11/11/16 22:40,16-060148,ROBBERY-FIREARM,14Y,500 MANDANA BLVD,Oakland,CA
ROBBERY,1/30/17 22:00,17-005423,ROBBERY-FIREARM,14Y,400 BOULEVARD WY,Oakland,CA
NARCOTICS,1/30/17 15:30,17-005358,POSSESS MARIJUANA/HASHISH FOR SALE,02Y,700 CENTER ST,Oakland,CA
STOLEN VEHICLE,1/30/17 1:00,17-005370,VEHICLE THEFT - AUTO,04X,1900 CASTRO ST,Oakland,CA
BURG - COMMERCIAL,12/27/16 10:00,16-068164,BURGLARY-NO FORCE,12X,4900 BROADWAY,Oakland,CA
ROBBERY,11/11/16 22:43,16-060149,ROBBERY-FIREARM,14X,200 GRAND AV,Oakland,CA
PETTY THEFT,11/11/16 23:00,16-060151,THEFT,12X,5100 SHATTUCK AV,Oakland,CA
DISORDERLY CONDUCT,11/11/16 22:57,16-060152,DISORDERLY CONDUCT - ALCOHOL,20X,3000 E 17TH ST,Oakland,CA
RECOVERED O/S STOLEN,11/11/16 23:30,16-060154,VEHICLE THEFT - AUTO,26X,4900 COLISEUM WY,Oakland,CA
BURG - RESIDENTIAL,1/29/17 8:00,17-005371,BURGLARY-FORCIBLE ENTRY,01X,400 2ND ST,Oakland,CA
BURG - AUTO,12/23/16 7:30,16-917598,BURGLARY-AUTO,31X,400 HEGENBERGER RD,Oakland,CA
FELONY ASSAULT,12/27/16 20:40,16-068165,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,31X,7500 EDGEWATER DR,Oakland,CA
FELONY ASSAULT,12/27/16 14:32,16-068152,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,77X,1200 PINE ST,Oakland,CA
BURG - RESIDENTIAL,1/17/17 5:15,17-002899,BURGLARY-FORCIBLE ENTRY,03X,900 JACKSON ST,Oakland,CA
NARCOTICS,12/27/16 19:35,16-068096,POSSESS NARCOTIC CONTROLLED SUBSTANCE,34X,9700 SUNNYSIDE ST,Oakland,CA
,1/17/17 5:00,17-002900,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,04X,600 22ND ST,Oakland,CA
MISDEMEANOR ASSAULT,12/27/16 20:27,16-068101,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,08X,3700 TELEGRAPH AV,Oakland,CA
STOLEN VEHICLE,11/23/16 18:10,16-062473,VEHICLE THEFT - AUTO,26Y,6200 TEVIS ST,Oakland,CA
STOLEN VEHICLE,1/16/17 22:00,17-002905,VEHICLE THEFT - AUTO,05X,800 21ST ST,Oakland,CA
STOLEN VEHICLE,12/27/16 20:41,16-068102,VEHICLE THEFT - AUTO,35X,COSGRAVE AV & GOLF LINKS RD,Oakland,CA
DOMESTIC VIOLENCE,1/17/17 7:20,17-002906,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,2100 MYRTLE ST,Oakland,CA
DOMESTIC VIOLENCE,11/23/16 20:00,16-062475,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,35TH ST & PERALTA ST,Oakland,CA
STOLEN VEHICLE,1/16/17 19:00,17-002910,VEHICLE THEFT - AUTO,19X,500 E 8TH ST,Oakland,CA
STOLEN VEHICLE,1/16/17 21:30,17-002911,VEHICLE THEFT - AUTO,30X,1700 68TH AV,Oakland,CA
ROBBERY,12/27/16 20:40,16-068103,ROBBERY-FIREARM,04X,1700 WEBSTER ST,Oakland,CA
RECOVERED VEHICLE - OAKLAND STOLEN,12/27/16 11:00,16-068106,VEHICLE THEFT - AUTO,27X,4600 CONGRESS AV,Oakland,CA
DISORDERLY CONDUCT,12/29/16 13:19,16-068398,DISTURB THE PEACE,09X,100 41ST ST,Oakland,CA
NARCOTICS,12/27/16 14:00,16-068060,POSSESS CONTROLLED SUBSTANCE FOR SALE,25X,4800 DAISY ST,Oakland,CA
MISDEMEANOR ASSAULT,12/27/16 16:00,16-068067,BATTERY,30X,1600 69TH AV,Oakland,CA
ROBBERY,12/27/16 16:00,16-068071,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",05X,19TH ST AND BRUSH ST,Oakland,CA
STOLEN VEHICLE,12/27/16 1:54,16-068073,VEHICLE THEFT - AUTO,07X,2800 ETTIE ST,Oakland,CA
MISDEMEANOR ASSAULT,12/27/16 17:01,16-068076,BATTERY,06X,2200 SAN PABLO AV,Oakland,CA
ROBBERY,12/27/16 17:45,16-068085,ROBBERY-FIREARM,04X,400 15TH ST,Oakland,CA
DOMESTIC VIOLENCE,12/27/16 18:14,16-068086,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,65TH AV & INTERNATIONAL BLVD,Oakland,CA
DISORDERLY CONDUCT,12/27/16 0:00,16-068087,DISTURB THE PEACE,05X,2000 MARKET ST,Oakland,CA
STOLEN VEHICLE,1/30/17 16:30,17-005418,VEHICLE THEFT - AUTO,32X,10000 INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,12/27/16 14:00,16-068089,BATTERY,22X,3300 FRUITVALE AV,Oakland,CA
STOLEN VEHICLE,12/27/16 12:25,16-068094,VEHICLE THEFT - AUTO,26Y,900 69TH AV,Oakland,CA
VANDALISM,12/27/16 18:16,16-068095,VANDALISM,23X,1400 35TH AV,Oakland,CA
VANDALISM,12/29/16 5:08,16-068359,"VANDALISM [$1,000 TO UNDER $5,000] (AMENDED)",04X,1500 BROADWAY,Oakland,CA
GRAND THEFT,12/28/16 19:10,17-900381,GRAND THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA
FELONY ASSAULT,12/29/16 10:12,16-068365,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,10X,6400 MARSHALL ST,Oakland,CA
WEAPONS,12/29/16 18:45,16-068454,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,20X,2800 E 17TH ST,Oakland,CA
DOMESTIC VIOLENCE,12/29/16 18:46,16-068455,INFLICT CRPL INJ SP/COHAB,32Y,2600 TRUMAN AV,Oakland,CA
PETTY THEFT,12/29/16 8:00,16-068379,THEFT,02Y,900 WILLOW ST,Oakland,CA
NARCOTICS,12/29/16 12:18,16-068384,POSSESS NARCOTIC CONTROLLED SUBSTANCE,30Y,2600 73RD AV,Oakland,CA
DOMESTIC VIOLENCE,12/29/16 12:31,16-068390,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,5400 FOOTHILL BLVD,Oakland,CA
PETTY THEFT,12/29/16 0:00,16-068393,THEFT,17Y,1400 E 31ST ST,Oakland,CA
ARSON,12/29/16 4:45,16-068372,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,26X,400 HIGH ST,Oakland,CA
STOLEN VEHICLE,12/29/16 15:00,16-068492,VEHICLE THEFT - AUTO,04X,600 14TH ST,Oakland,CA
BURG - AUTO,12/30/16 12:30,17-900589,BURGLARY-AUTO,77X,0,Oakland,CA
MISDEMEANOR ASSAULT,12/29/16 12:38,16-068394,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,34X,9000 INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,1/17/17 8:17,17-002912,THREAT CRIME:INT:TERRORIZE,19X,2000 INTERNATIONAL BLVD,Oakland,CA
BURG - AUTO,12/27/16 14:00,16-068136,BURGLARY-AUTO,01X,200 JEFFERSON ST,Oakland,CA
STOLEN VEHICLE,11/12/16 22:00,16-060487,VEHICLE THEFT - AUTO,19X,1200 EMBARCADERO,Oakland,CA
BURG - AUTO,11/22/16 19:20,16-062150,BURGLARY-AUTO,12Y,5700 OAK GROVE AV,Oakland,CA
STOLEN VEHICLE,1/16/17 21:30,17-002915,VEHICLE THEFT - AUTO,23X,1200 37TH AV,Oakland,CA
STOLEN VEHICLE,1/13/17 0:00,17-002917,VEHICLE THEFT - AUTO,21Y,2300 HUGHES AV,Oakland,CA
DISORDERLY CONDUCT,1/17/17 7:00,17-002920,FIGHT/CHALLENGE IN PUBLIC PLACE,07X,2800 FILBERT ST,Oakland,CA
RECOVERED O/S STOLEN,1/17/17 9:20,17-002923,VEHICLE THEFT - AUTO,10X,61ST PL & BAKER ST,Oakland,CA
BURG - AUTO,12/22/16 21:00,17-900106,BURGLARY-AUTO,08X,2300 WEBSTER ST,Oakland,CA
PETTY THEFT,1/16/17 15:00,17-002929,THEFT,15X,300 E 18TH ST,Oakland,CA
BURG - COMMERCIAL,12/29/16 7:08,16-068330,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,12X,5000 TELEGRAPH AV,Oakland,CA
BURG - RESIDENTIAL,12/29/16 1:04,16-068334,BURGLARY-FORCIBLE ENTRY,35Y,9400 MOUNTAIN BLVD,Oakland,CA
FELONY ASSAULT,12/29/16 4:00,16-068343,BATTERY W/SERIOUS BODILY INJURY,10Y,4500 LINDEN ST,Oakland,CA
BURG - COMMERCIAL,11/25/16 17:30,16-062866,BURGLARY-FORCIBLE ENTRY,21Y,2400 COOLIDGE AV,Oakland,CA
FELONY ASSAULT,12/27/16 21:57,16-068114,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,23X,3200 INTERNATIONAL BLVD,Oakland,CA
PETTY THEFT,1/12/17 18:00,17-002974,THEFT,10X,5500 FREMONT ST,Oakland,CA
OTHER SEX OFFENSES,12/27/16 20:50,16-068121,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,17X,600 E 17TH ST,Oakland,CA
BURG - RESIDENTIAL,12/15/16 17:00,16-066413,BURGLARY-FORCIBLE ENTRY,22X,2000 DAMUTH ST,Oakland,CA
RECOVERED O/S STOLEN,1/17/17 12:54,17-002972,VEHICLE THEFT - AUTO,32X,1400 104TH AV,Oakland,CA
MISDEMEANOR ASSAULT,12/27/16 23:00,16-068123,BATTERY,22Y,2900 MACARTHUR BLVD,Oakland,CA
,11/22/16 23:50,16-917348,THEFT,14X,700 GRAND AVE,Oakland,CA
BURG - RESIDENTIAL,1/17/17 12:30,17-002971,BURGLARY-FORCIBLE ENTRY,26Y,6300 INTERNATIONAL BLVD,Oakland,CA
STOLEN VEHICLE,1/16/17 5:00,17-002973,VEHICLE THEFT - AUTO,31Y,9000 RAILROAD AV,Oakland,CA
MISDEMEANOR ASSAULT,12/27/16 14:30,16-068125,BATTERY,19X,1300 7TH AV,Oakland,CA
RECOVERED O/S STOLEN,1/17/17 12:56,17-002976,VEHICLE THEFT - AUTO,12Y,5300 JAMES AV,Oakland,CA
GRAND THEFT,12/27/16 17:00,16-068130,GRAND THEFT FROM PERSON,05X,700 14TH ST,Oakland,CA
NARCOTICS,1/17/17 13:28,17-002984,POSSESS CONTROLLED SUBSTANCE,19X,1700 E 12TH ST,Oakland,CA
BURG - RESIDENTIAL,1/16/17 10:00,17-002978,BURGLARY-FORCIBLE ENTRY,25X,3800 REDDING ST,Oakland,CA
VANDALISM,1/17/17 13:15,17-002986,VANDALISM,24Y,2500 HUMBOLDT AV,Oakland,CA
STOLEN VEHICLE,12/1/16 23:00,16-063829,VEHICLE THEFT - AUTO,13Y,100 DUNCAN WY,Oakland,CA
VANDALISM,11/23/16 23:00,16-062439,VANDALISM,27Y,1400 SEMINARY AV,Oakland,CA
RECOVERED O/S STOLEN,1/17/17 13:45,17-002979,VEHICLE THEFT - AUTO,07X,24TH ST & MYRTLE ST,Oakland,CA
VANDALISM,1/14/17 0:00,17-002989,VANDALISM,25X,4700 MACARTHUR BLVD,Oakland,CA
ROBBERY,1/17/17 14:10,17-002990,ROBBERY-FIREARM,23X,IFO 851 34TH AV,Oakland,CA
STOLEN VEHICLE,1/11/17 17:00,17-002982,VEHICLE THEFT - AUTO,14X,200 MACARTHUR BLVD,Oakland,CA
MISDEMEANOR ASSAULT,1/17/17 14:45,17-002991,BATTERY,22X,2100 MACARTHUR BLVD,Oakland,CA
BURG - OTHER,11/25/16 11:35,16-062857,BURGLARY-FORCIBLE ENTRY,14X,200 GRAND AV,Oakland,CA
DISORDERLY CONDUCT,1/12/17 0:00,17-002992,DISTURB THE PEACE,08X,400 W MACARTHUR BLVD,Oakland,CA
VANDALISM,1/17/17 14:00,17-002993,VANDALISM,03X,7TH ST & WEBSTER ST,Oakland,CA
STOLEN AND RECOVERED VEHICLE,11/11/16 14:43,16-059988,VEHICLE THEFT - AUTO,30Y,2900 75TH AV,Oakland,CA
DRUNKENNESS,11/11/16 11:23,16-060052,DISORDERLY CONDUCT:TOLUENE,03X,1300 BROADWAY,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 11:45,16-060054,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,15X,700 MACARTHUR BLVD,Oakland,CA
THREATS,11/11/16 12:00,16-060057,THREAT CRIME:INT:TERRORIZE,30Y,7600 MACARTHUR BLVD,Oakland,CA
PETTY THEFT,1/18/17 20:00,17-901139,THEFT,09X,4300 PIEDMONT AV,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 11:50,16-060058,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27X,5400 FOOTHILL BLVD,Oakland,CA
STOLEN VEHICLE,11/11/16 2:00,16-060060,VEHICLE THEFT - AUTO,30Y,7700 CREST AV,Oakland,CA
STOLEN VEHICLE,11/11/16 12:35,16-060061,VEHICLE THEFT - AUTO,25X,4100 BAYO ST,Oakland,CA
BURG - RESIDENTIAL,1/16/17 9:45,17-901140,BURGLARY-FORCIBLE ENTRY,25X,3600 WISCONSIN ST,Oakland,CA
BURG - AUTO,12/26/16 23:29,16-067954,BURGLARY-AUTO,12Y,5100 DESMOND ST,Oakland,CA
VANDALISM,1/18/17 23:00,17-901142,VANDALISM,14Y,500 JEAN ST,Oakland,CA
BURG - AUTO,1/18/17 21:10,17-901143,BURGLARY-AUTO,08X,2700 TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/18/17 6:05,17-901146,BURGLARY-AUTO,04X,400 21ST ST,Oakland,CA
BURG - AUTO,11/22/16 2:00,16-062108,BURGLARY-AUTO,24X,42ND AV & MERA ST,Oakland,CA
RECOVERED O/S STOLEN,1/2/17 15:55,17-000255,VEHICLE THEFT - AUTO,31X,00 SWAN WY,Oakland,CA
RECOVERED O/S STOLEN,1/2/17 14:13,17-000257,VEHICLE THEFT - AUTO,13Z,1600 ARROWHEAD DR,Oakland,CA
BURG - AUTO,12/28/16 18:30,17-900362,BURGLARY-AUTO,09X,200 41ST ST,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 15:40,17-000262,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,300 CASWELL AV,Oakland,CA
,2/7/17 22:00,17-902398,GRAND THEFT,12X,300 50TH ST,Oakland,CA
,2/8/17 7:35,17-902399,BURGLARY-AUTO,09X,4000 PIEDMONT AVE,Oakland,CA
,2/8/17 5:15,17-902400,VANDALISM,,400 63RD ST,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 17:32,17-000269,MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP,02Y,1700 9TH ST,Oakland,CA
NARCOTICS,1/2/17 16:55,17-000271,SELL/FURNISH/ETC MARIJUANA/HASHISH,31Y,9900 HESKET RD,Oakland,CA
,1/2/17 15:37,17-000273,THREAT CRIME:INT:TERRORIZE,13X,5200 BROADWAY TERRACE,Oakland,CA
STOLEN VEHICLE,1/2/17 1:00,17-000278,VEHICLE THEFT - AUTO,33X,900 88TH AV,Oakland,CA
ROBBERY,1/2/17 17:30,17-000279,ROBBERY-KNIFE OR CUTTING INSTRUMENT,02Y,1000 WILLOW ST,Oakland,CA
BURG - AUTO,1/18/17 21:00,17-901129,BURGLARY-AUTO,,26TH ST,Oakland,CA
BURG - AUTO,1/19/17 6:00,17-901131,BURGLARY-AUTO,02Y,800 CAMPBELL ST,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 0:10,16-059980,FORCE/ADW-KNIFE:GBI,27X,2200 VICKSBURG AV,Oakland,CA
GRAND THEFT,1/19/17 0:10,17-901132,GRAND THEFT,11X,600 ALCATRAZ AV,Oakland,CA
BURG - AUTO,1/18/17 18:10,17-901133,BURGLARY-AUTO,08X,3700 BROADWAY,Oakland,CA
BURG - AUTO,1/19/17 1:00,17-901134,BURGLARY-AUTO,14Y,500 JEAN ST,Oakland,CA
BURG - AUTO,1/19/17 8:00,17-901135,BURGLARY-AUTO,13X,6500 BROADWAY,Oakland,CA
PETTY THEFT,1/19/17 8:50,17-901136,THEFT,12Y,400 55TH ST,Oakland,CA
BURG - AUTO,1/18/17 22:30,17-901137,BURGLARY-AUTO,13Z,7100 SARONI DR,Oakland,CA
GRAND THEFT,12/23/16 0:00,16-917606,GRAND THEFT,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA
HOMICIDE,11/11/16 0:21,16-059981,MURDER:FIRST DEGREE,33X,9400 DUNBAR DR,Oakland,CA
GRAND THEFT,1/17/17 18:30,17-901138,GRAND THEFT,35X,9100 FONTAINE ST,Oakland,CA
ROBBERY,11/11/16 0:35,16-059984,CARJACKING WITH FIREARM,03X,8TH ST & WEBSTER ST,Oakland,CA
STOLEN VEHICLE,12/26/16 17:00,16-068075,VEHICLE THEFT - AUTO,12X,400 48TH ST,Oakland,CA
BURG - AUTO,1/18/17 20:30,17-901119,BURGLARY-AUTO,08X,300 26TH ST,Oakland,CA
BURG - AUTO,1/18/17 19:00,17-901120,BURGLARY-AUTO,12X,4900 SHATTUCK AV,Oakland,CA
BURG - AUTO,12/12/16 14:15,16-917384,BURGLARY-AUTO,04X,1800 SAN PABLO AV,Oakland,CA
VANDALISM,1/18/17 21:30,17-901121,VANDALISM,04X,300 19TH ST,Oakland,CA
FELONY ASSAULT,11/29/16 22:00,16-063477,SHOOT:INHAB DWELL/VEH/ETC,35X,8500 MACARTHUR BLVD,Oakland,CA
BURG - AUTO,1/18/17 20:47,17-901122,BURGLARY-AUTO,09X,4200 PIEDMONT AV,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 17:00,16-068079,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30Y,7300 MACARTHUR BLVD,Oakland,CA
BURG - AUTO,1/18/17 19:15,17-901123,BURGLARY-AUTO,12X,49TH ST & TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/18/17 20:30,17-901124,BURGLARY-AUTO,77X,00 TEMESCAL CIR,Oakland,CA
VANDALISM,1/18/17 20:00,17-901125,VANDALISM,12X,4600 SHATTUCK AV,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 0:15,16-059979,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,03X,14TH ST & BROADWAY,Oakland,CA
BURG - AUTO,1/18/17 20:30,17-901126,BURGLARY-AUTO,04X,1800 HARRISON ST,Oakland,CA
VANDALISM,1/18/17 21:30,17-901128,VANDALISM,04X,300 19TH ST,Oakland,CA
BURG - AUTO,11/15/16 19:10,16-915917,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA
DISORDERLY CONDUCT,1/2/17 9:15,17-000211,DISTURB THE PEACE,30Y,2600 73RD AV,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 3:00,17-000213,THREAT CRIME:INT:TERRORIZE,23X,3500 SAN LEANDRO ST,Oakland,CA
VANDALISM,1/2/17 11:20,17-000215,VANDALISM,24Y,2900 35TH AV,Oakland,CA
STOLEN AND RECOVERED VEHICLE,1/2/17 12:04,17-000218,VEHICLE THEFT - AUTO,03X,100 8TH ST,Oakland,CA
PETTY THEFT,1/2/17 11:45,17-000220,THEFT,02X,1000 7TH ST,Oakland,CA
BURG - AUTO,1/2/17 11:30,17-000221,BURGLARY-AUTO,04X,500 W GRAND AV,Oakland,CA
STOLEN VEHICLE,1/2/17 12:45,17-000223,VEHICLE THEFT - AUTO,23X,3200 E 12TH ST,Oakland,CA
MISDEMEANOR ASSAULT,1/2/17 13:15,17-000227,BATTERY,23X,3400 INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,1/2/17 13:30,17-000235,CRUELTY TO ELDER/DEPENDENT ADULT WITH LIKELY GBI OR DEATH,27Y,62ND AV & E 16TH ST,Oakland,CA
RECOVERED VEHICLE - OAKLAND STOLEN,1/2/17 11:00,17-000239,VEHICLE THEFT - AUTO,30Y,KERWIN AVE &BERNHARDT DR,Oakland,CA
MISDEMEANOR ASSAULT,1/2/17 13:56,17-000241,BATTERY,19X,2200 E 15TH ST,Oakland,CA
ROBBERY,1/2/17 11:30,17-000254,ROBBERY-FIREARM,33X,1100 83RD AV,Oakland,CA
PETTY THEFT,11/29/16 19:00,16-063401,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA
STOLEN VEHICLE,12/26/16 23:00,16-068065,VEHICLE THEFT - AUTO,13X,6300 BROOKSIDE AV,Oakland,CA
BURG - AUTO,1/18/17 11:55,17-901105,BURGLARY-AUTO,09X,5100 BROADWAY,Oakland,CA
PETTY THEFT,1/16/17 17:30,17-901106,THEFT,01X,300 WEBSTER ST,Oakland,CA
